model,test_accuracy,macro_f1,macro_precision,macro_recall,params,training_time_s,inference_latency_ms
majority_class_baseline,0.10024691358024691,,,,0,0.0,0.0
baseline_cnn,0.7953086419753086,0.7866131594429389,0.8008529849590907,0.7920420680288025,94538,485.3622829914093,28.51012945175171
resnet50,0.9291358024691359,0.9276468572526897,0.9274799396990148,0.9283239039984098,23528522,628.7447195053101,163.2974147796631
mobilenetv3,0.9256790123456791,0.9245961528536302,0.9262627647811342,0.9244000217746351,1528106,433.0687029361725,10.454440116882324
